Description;Custom field (Story Points)
"Hi,
a few days ago the stable version of PHP 5.4 was released. If would be great if Aptana would support the new features like the new short array syntax or traits. Currently Aptana says the code is invalid at this point.

Thanks and greetings
Leo";0
We support go to declaration on things like type names, method calls, variables. We should support opening the related file on the loadpath for the paths mentioned in require/load calls.;1
"Attache the analytics ping to the portal 'dispatch'.
The ping should indicate the portal's controller and action (e.g. 'portal.browser.openExternalBrowser')";1
Our goal here is an initial load time of under 5 seconds (from first double click to being able to type in an open editor). More investigation needs to be done as to the bottlenecks and what we can do to improve this performance.;0
"In a series of tests, it appears that Aptana Studio 3.x is signifigantly slower than 1.5 when opening files.

Test:
* Empty workspace, except for one web project
* project contains 11 web files, each the homepage of google.com (attached)
* Restart studio. Let all processes finish. Right click on a file and open it in the HTML editor:
** Aptana Studio 1.5: avg. 1.75 sec
** Aptana Studio 3.0.7 avg. 2.35 sec
* Note that the addition of browser previews in 1.5 seems not to make a difference. Removing them did not materially impact the times.

Time to open all files:

Select all files, right-click to open all.

Aptana Studio 1.5: 1.4 seconds
Aptana Studio 3: 1.5-1.7 seconds

Studio 3 is reliably slower, though just a hair. It _feels_ slower too.

Opening to edit state test:

Aptana Studio 1.5: 4 seconds to opening and typing
Aptana Studio 3: 8 seconds to open, but 18 seconds until able to type (waiting on colorization)

FWIW, the typing speed is atrocious in Studio 1.5 in that file (a few chars a sec at best) but opening is way faster, and the browser tabs
seem to have nothing to do with it.";0
"h3. Steps to Reproduce
load an HTML document and click on the Show Preview WIndow button from the toolbar.  I just was upgraded to Aptana Studio 3 v. 3.4.  Prior to this, the rendered HTML was always FLUSH left in the viewing screen.

Info:

Host OS: Mac OS X
OS Version: 10.6.8
OS Arch: x86

JRE Version: 1.6.0_31
JRE Vendor: Apple Inc.
JRE Home: /System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home

Aptana Studio 3 Version: 3.4.0.201304151603
Install Directory: file:/Applications/Aptana Studio 3/
Workspace Directory: file:/Users/teacher/Desktop/Aptana Studio 3 Workspace/
VM Arguments: -Xms40m
-Xmx512m
-Declipse.p2.unsignedPolicy=allow
-Declipse.log.size.max=10000
-Declipse.log.backup.max=5
-Xdock:icon=../Resources/aptana.icns
-XstartOnFirstThread
-Dorg.eclipse.swt.internal.carbon.smallFonts
-XX:MaxPermSize=256m
-Djava.class.path=/Applications/Aptana Studio 3/AptanaStudio3.app/Contents/MacOS//../../../plugins/org.eclipse.equinox.launcher_1.2.0.v20110502.jar

Language: en_US

Node.JS Version: Not installed
NPM Path: Not installed



h3. Actual Result
HTML loads FLUSH RIGHT ... see attached screen shot.

h3. Expected Result
LEFT JUSTIFICATION on the preview.";8
"h3. Steps to Reproduce
We just upgraded to Studio 3.1.3, and now we get a ton of JSLint errors in our code. (Seems to be because of changes to default settings?)

We could put the settings into jslint comments to make it work how we want it to, but that would require adding the settings to the 300+ JavaScript files that we have on our site. That is unacceptable.

We need a place to be able to specify JSLint's settings on a global level. We use JSLint on ""reconcile"" mode, and seeing all of the errors (for things like supposedly ""messy"" whitespace, using multiple 'var' statements, etc) makes the tool downright useless for the actual errors that we need it to catch.

h3. Actual Result
(See above)

h3. Suggested solution

Remove the filter box from the validator main page and have the pencil icon open up a new window (similar to how formatting works). See screenshots. For JSLint (and all validators), we would keep a filter text box, as well as have another text box where a user can specify whatever JSLint commands they'd like to issue

I'm assuming this would be in the form of a string of options that would then be injected into the comments of a file before parsing.";13
"Port the PDT support for PHP 5.4 and make the same code adjustment we have made for previous versions.
This includes porting the PHP 5.4 PhpAstParser and changing its hierarchy to fit the Studio's PHP AST hierarchy. 
";20
"h3. Steps to Reproduce
1. Update to Aptana 3.3.1.
2. Open HTML page.
3. Press button 'Show Preview Editor'

h3. Actual Result
New tab header is created (clicking on this tab has no effect). Error record is appended to log file: 'java.lang.NoClassDefFoundError: Could not initialize class cef.CEFJNI'

h3. Expected Result
Preview should be opened  exactly as in previous versions of Aptana. Preview worked without errors in Aptana 3.2.X before updating to 3.3.1.";5
We've combined core and UI code in the CSS editor plugin. For proper separation we should split the two apart as we did with the JS plugin.;13
We may need to move some NodeJS functionality from Titanium Studio down into Aptana Studio. We built that functionality properly separated into core and UI plugins, and joining them back may cause issues as well as actually breaks proper architecture. As a result, we should split the JS plugin into core and UI properly so we can eventually merge the node stuff down in.;20
We've combined core and UI code in the XML editor plugin. For proper separation we should split the two apart as we did with the JS plugin.;8
We've combined core and UI code in the DTD editor plugin. For proper separation we should split the two apart as we did with the JS plugin.;8
Based on the findings for APSTUD-4690, we implement the rules in a new validator.;0
"Related to APSTUD-4800, once we have the name of a project, we need to ""run"" it.

In this case, we'll have a project name and an action (""run"") in this case. The project may not yet have a launch configuration.

In the most basic example, we'd run a new Mobile Web project in the browser. However, we need to do some specification on which actual action we are activating. Perhaps we can do it based on the IDs of the items in the menu.";13
"PHPDocs are no longer working from external files. 
{quote}
/**
*Documentation for test
*/
function test($a,$b) { }
{quote}
If you type ""test"" on a new line of the same file, you get the auto-completion list with the documentation box showing ""Documentation for test"", but if you type ""test"" *on a different file* of the same project, it will say: ""No available documentation""
";8
"The effect is the same from: https://jira.appcelerator.org/browse/APSTUD-3519, but I haven't investigated what's causing those calls to appear this time (I had Aptana Studio open for more than 1 day, before it became unusable, at which point I attached a profiler and got the results attached). 

The attached profile is from a single switch editor (at which point it tested almost 4000 properties... another thing that's strange is the 1600 calls to GitRepository... but that may be related to the property testers too).

I'm on working from the development version. Revision: b1f6fa7 1352764490 2012-11-12 pinnamur";8
"I've noticed that many of the newer PHP 5.3 based frameworks contain an autoloader of some sort that allows for developers to use classes in files that have no reference to said class. When trying to call a class where there is no namespace though, I am told there is no proposal. It would greatly help me as a developer to have the functions of a class proposed for me when I don't have a namespace defined.

I've attached a couple of images to help explain what I'm asking for. In the first image, where there are no proposals, because of how the way the framework is written, it would be great if the function list was there even though a namespace wasn't called.

Here are just two frameworks that allow for this:
https://github.com/laravel/laravel/blob/master/application/controllers/home.php
https://github.com/fuel/fuel/blob/1.1/master/fuel/app/classes/controller/welcome.php";13
"h3. Steps to Reproduce
1. Create ticket from Aptana.
2. Select severity.
3. Attach log file.
4. Press OK.
5. Check created ticket in web browser (on jira.appcelerator.org).

h3. Actual Result
No attachments will be created.

h3. Expected Result
Log file should be attached.";8
"The script/stuyle tag type attribute incorrect auto completion.  

* Add extra double quote
* Suggest ""texxt"" instead of ""text""

{code}
<script type=""teext/javascript"" ""></script>
<style type=""teext/css"" ""></style>
{code}

To reproduce:

# Type {{<script type=""te}}
# Select ""text/javascript"" from the list
# You will end up with {{teext/javascript}}";5
I appreciate your wanting to enforce the standard, but... I deliberately use duplicate id attributes because I also use jQuery to create small search contexts. Creating unique id attributes is both cumbersome and makes searching by id more complex. Ideally, I would like to be able to toggle this warning off.;13
"Identical to snippets (http://docs.appcelerator.com/titanium/2.1/index.html#!/guide/Creating_a_New_Snippet) we add the concept of tags to templates

* Add the field to IProjectTemplate
* Modify the scripting models to read and set these values during serialization
* Update the wiki documentation to reference the new functionality";8
"after update my aptana 3.2.2.201208201020 to 3.3 RC when trying to upload file  I always get  this error, but when I click synchronize everything works just fine.

 Aptana log looks like this:
{code}
!ENTRY com.aptana.syncing.ui 4 0 2012-10-15 14:20:23.796
!MESSAGE Failed to upload file
!STACK 0
java.lang.IllegalArgumentException: File {0} is not contained inside {1}.
	at com.aptana.ide.syncing.core.old.Synchronizer.getCanonicalPath(Synchronizer.java:184)
	at com.aptana.ide.syncing.core.old.Synchronizer.createSyncItems(Synchronizer.java:437)
	at com.aptana.ide.syncing.ui.actions.UploadAction$1.run(UploadAction.java:114)
	at org.eclipse.core.internal.jobs.Worker.run(Worker.java:54)
{code}
and my FTP server log looks like this:

{code}
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 230 Logged on
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> PWD
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 257 ""/"" is current directory.
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> CWD /folder_name
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 250 CWD successful. ""/folder_name"" is current directory.
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> TYPE I
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 200 Type set to I
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> FEAT
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 211-Features:
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)>  MDTM
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)>  REST STREAM
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)>  SIZE
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)>  MLST type*;size*;modify*;
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)>  MLSD
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)>  UTF8
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)>  CLNT
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)>  MFMT
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 211 End
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> SITE HELP
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 504 Command not implemented for that parameter
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> SYST
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 215 UNIX emulated by FileZilla
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> STAT /
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 500 Syntax error, command unrecognized.
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> CWD /
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 250 CWD successful. ""/"" is current directory.
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> PASV
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 227 Entering Passive Mode (0,0,0,0,215,99)
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> LIST -a
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 150 Connection accepted
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 226 Transfer OK
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> NOOP
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 200 OK
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> TYPE I
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 200 Type set to I
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> CWD /folder_name
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 250 CWD successful. ""/folder_name"" is current directory.
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> PASV
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 227 Entering Passive Mode (0,0,0,0,215,100)
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> LIST -a
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 150 Connection accepted
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 226 Transfer OK
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> CWD /folder_name/Scripts
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 250 CWD successful. ""/folder_name/Scripts"" is current directory.
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> PASV
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 227 Entering Passive Mode (0,0,0,0,215,101)
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> LIST -a
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 150 Connection accepted
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 226 Transfer OK
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> PASV
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 227 Entering Passive Mode (0,0,0,0,215,102)
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> STOR 1350287443194._tmp_upload.txt
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 150 Connection accepted
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 226 Transfer OK
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> PASV
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 227 Entering Passive Mode (0,0,0,0,215,103)
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> LIST -a
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 150 Connection accepted
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 226 Transfer OK
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> DELE 1350287443194._tmp_upload.txt
(002191) 2012-10-15 09:50:12 - xxx (xxx.xxx.xxx.xxx)> 250 File deleted successfully
{code}";5
"Our JS metadata uses Link[], Anchor[], etc. to declare some properties as arrays of Links/whatever. We use Array<Type> inside the code to denote arrays of a given type. We should convert the old style to new to unify them in our code.

Additionally, we don't fully support Array<type> properly, as it breaks our type hierarchy lookups where we really need to strip the generic/type info off the end to lookup Array as a parent type.";5
"I have a project with the file attached,
TI Studio hangs + CPU 100% while indexing that file

i join the file but the crash log was too big so i just post the related part here:
{code}
!ENTRY com.aptana.editor.js 4 0 2012-10-23 10:17:44.434
!MESSAGE (Build 3.0.1.201210221016) [ERROR]  Failed to parse file:/Volumes/data/dev/xerox/xstar3/trunk/Client/Titanium/RepairMan/Resources/web/three.min.js for JS Parser Validation
!STACK 0
java.lang.IllegalMonitorStateException
	at java.util.concurrent.locks.ReentrantReadWriteLock$Sync.tryReleaseShared(ReentrantReadWriteLock.java:363)
	at java.util.concurrent.locks.AbstractQueuedSynchronizer.releaseShared(AbstractQueuedSynchronizer.java:1317)
	at java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock.unlock(ReentrantReadWriteLock.java:745)
	at com.aptana.index.core.Index.exitRead(Index.java:417)
	at com.aptana.index.core.Index.query(Index.java:565)
	at com.aptana.editor.js.contentassist.index.JSIndexReader.getFunctions(JSIndexReader.java:314)
	at com.aptana.editor.js.contentassist.JSIndexQueryHelper.getFunctions(JSIndexQueryHelper.java:87)
	at com.aptana.editor.js.contentassist.JSIndexQueryHelper.getMembers(JSIndexQueryHelper.java:184)
	at com.aptana.editor.js.contentassist.JSIndexQueryHelper.getTypeMembers(JSIndexQueryHelper.java:391)
	at com.aptana.editor.js.inferencing.JSNodeTypeInferrer.visit(JSNodeTypeInferrer.java:566)
	at com.aptana.editor.js.parsing.ast.JSGetPropertyNode.accept(JSGetPropertyNode.java:34)
	at com.aptana.editor.js.parsing.ast.JSTreeWalker.visit(JSTreeWalker.java:176)
	at com.aptana.editor.js.inferencing.JSNodeTypeInferrer.getTypes(JSNodeTypeInferrer.java:263)
	at com.aptana.editor.js.inferencing.JSNodeTypeInferrer.getTypes(JSNodeTypeInferrer.java:244)
	at com.aptana.editor.js.inferencing.JSNodeTypeInferrer.visit(JSNodeTypeInferrer.java:364)
	at com.aptana.editor.js.parsing.ast.JSBinaryArithmeticOperatorNode.accept(JSBinaryArithmeticOperatorNode.java:94)
	at com.aptana.editor.js.parsing.ast.JSTreeWalker.visit(JSTreeWalker.java:176)
	at com.aptana.editor.js.inferencing.JSSymbolTypeInferrer.processValues(JSSymbolTypeInferrer.java:553)
	at com.aptana.editor.js.inferencing.JSSymbolTypeInferrer.getSymbolPropertyElement(JSSymbolTypeInferrer.java:339)
	at com.aptana.editor.js.inferencing.JSSymbolTypeInferrer.processProperties(JSSymbolTypeInferrer.java:461)
	at com.aptana.editor.js.inferencing.JSSymbolTypeInferrer.getSymbolPropertyElement(JSSymbolTypeInferrer.java:342)
	at com.aptana.editor.js.inferencing.JSSymbolTypeInferrer.getSymbolPropertyElement(JSSymbolTypeInferrer.java:376)
	at com.aptana.editor.js.inferencing.JSNodeTypeInferrer.visit(JSNodeTypeInferrer.java:633)
	at com.aptana.editor.js.parsing.ast.JSIdentifierNode.accept(JSIdentifierNode.java:33)
	at com.aptana.editor.js.parsing.ast.JSTreeWalker.visit(JSTreeWalker.java:176)
	at com.aptana.editor.js.validator.JSParserValidator.getTypeName(JSParserValidator.java:387)
	at com.aptana.editor.js.validator.JSParserValidator.checkTypeForDeprecation(JSParserValidator.java:407)
	at com.aptana.editor.js.validator.JSParserValidator.checkForDeprecations(JSParserValidator.java:211)
	at com.aptana.editor.js.validator.JSParserValidator$2.include(JSParserValidator.java:175)
	at com.aptana.editor.js.validator.JSParserValidator$2.include(JSParserValidator.java:1)
	at com.aptana.parsing.util.ParseUtil.treeApply(ParseUtil.java:155)
	at com.aptana.parsing.util.ParseUtil.treeApply(ParseUtil.java:121)
	at com.aptana.editor.js.validator.JSParserValidator.buildFile(JSParserValidator.java:148)
	at com.aptana.core.internal.build.LazyBuildParticipant.buildFile(LazyBuildParticipant.java:72)
	at com.aptana.editor.common.text.reconciler.CommonReconcilingStrategy.runParticipants(CommonReconcilingStrategy.java:333)
	at com.aptana.editor.common.text.reconciler.CommonReconcilingStrategy.reconcile(CommonReconcilingStrategy.java:273)
	at com.aptana.editor.common.text.reconciler.CommonReconcilingStrategy.reconcile(CommonReconcilingStrategy.java:231)
	at com.aptana.editor.common.text.reconciler.CommonReconcilingStrategy.initialReconcile(CommonReconcilingStrategy.java:145)
	at com.aptana.editor.common.text.reconciler.CommonReconciler.initialProcess(CommonReconciler.java:188)
	at org.eclipse.jface.text.reconciler.AbstractReconciler$BackgroundThread.run(AbstractReconciler.java:173)

!ENTRY com.aptana.editor.js 4 0 2012-10-23 11:51:52.608
!MESSAGE (Build 3.0.1.201210221016) [ERROR]  Failed to parse file:/Volumes/data/dev/xerox/xstar3/trunk/Client/Titanium/RepairMan/Resources/include/utilities.js for JS Parser Validation
!STACK 0
java.lang.NullPointerException
	at com.aptana.editor.js.validator.JSParserValidator.buildFile(JSParserValidator.java:146)
	at com.aptana.core.internal.build.LazyBuildParticipant.buildFile(LazyBuildParticipant.java:72)
	at com.aptana.editor.common.text.reconciler.CommonReconcilingStrategy.runParticipants(CommonReconcilingStrategy.java:333)
	at com.aptana.editor.common.text.reconciler.CommonReconcilingStrategy.reconcile(CommonReconcilingStrategy.java:273)
	at com.aptana.editor.common.text.reconciler.CommonReconcilingStrategy.reconcile(CommonReconcilingStrategy.java:231)
	at com.aptana.editor.common.text.reconciler.CommonReconcilingStrategy.fullReconcile(CommonReconcilingStrategy.java:437)
	at com.aptana.editor.common.text.reconciler.CommonReconciler.process(CommonReconciler.java:162)
	at org.eclipse.jface.text.reconciler.AbstractReconciler$BackgroundThread.run(AbstractReconciler.java:206)

{code}
";8
"{html}<div><p>I have the latest Aptana 3 installed. I have the preference
selected to open projects with double click, it doesn't work. I
switched it to single click, same result, didn't work.</p>
<p>Let me know if you need more information!</p>
<p>Thanks,<br>
Jason</p></div>{html}";5
"h3. Steps to Reproduce
Open Aptana Studio. Caption shows %perspective.name.web and some of the menu entries below Help also show %.... var names see screenshot

h3. Actual Result
see screenshot

h3. Expected Result
correct caption and menu entries";5
"h3. Steps to Reproduce
# Create a new workspace
# Navigate to YAML settings
# Change to 4 spaces
# Click ""Apply"", then ""Ok""
# Close Preferences, then reopen
# Note YAML value is back at 2

h3. Actual Result
Indentation is only 2

h3. Expected Result
Indentation should be 4";8
"Steps to reproduce:

# Check out a project from git (Suggest using https://github.com/aptana/html.ruble, File > Import > Git Repository)
# Switch to using App Explorer
# Expand templates folder
# Edit 1_1.xhtml. Save
# Note order of files/folders reshuffles. This will repeat with each new file edited.

See before/after screen shorts below.";8
"We're getting som cases where a variable is re-used many times in javascript resulting in multiple types being assigned, including Function. The way we write Function signatures is not able to be wrapped/unwrapped recursively, so we're getting some broken type strings once there's an overloaded variable that has a Function type with return types.

We may need to change from ""Function,Type,Type:ReturnType,ReturnType"" to ""Type,Type,Type,Function<ReturnType,ReturnType>"", because a returnType may also have a function with return types, making it impossible to reliably unwrap (i.e. ""Function,Number,Object:Function,Array<String>:Boolean"").";13
"h3. Steps to Reproduce
open resonable size web project with php and with git version control, wait, cpu usage stays around 100% 120%

h3. Actual Result
high cpu usage

h3. Expected Result
low usage";13
Relates to APSTUD-3354. Error is described there in detail. Found same behavior in files with mixed html, javascript code. Occurs in Editors for HTML and Javascript.;8
"When a user creates a project from the dashboard, it pops up the New Project wizard. At the end of that wizard, we need to return the name of the created project back top the dashboard.

We need to provide a callback mechanism to the dashboard that returns that project name.";8
"Got into deadlock when making performance improvements on the partitioning (i.e.: the faster partitioner made this race-condition appear).

The problem is that we have paths that lock onto the editor and document in different orders. See stack below:

{code}
Thread [main] (Suspended)	
	JSSourceEditor(AbstractTextEditor).enableSanityChecking(boolean) line: 4848	 <-- trying to lock on editor
	AbstractTextEditor$3.run() line: 434	
	AbstractTextEditor$ElementStateListener.execute(Runnable, boolean) line: 599	
	AbstractTextEditor$ElementStateListener.elementDirtyStateChanged(Object, boolean) line: 438	
	TextFileDocumentProvider$FileBufferListener.dirtyStateChanged(IFileBuffer, boolean) line: 288	
	TextFileBufferManager$3.run() line: 706	
	SafeRunner.run(ISafeRunnable) line: 42	
	ResourceTextFileBufferManager(TextFileBufferManager).fireDirtyStateChanged(IFileBuffer, boolean) line: 704	
	ResourceTextFileBuffer$DocumentListener.documentChanged(DocumentEvent) line: 77	
	SynchronizableDocument(AbstractDocument).doFireDocumentChanged2(DocumentEvent) line: 769	
	SynchronizableDocument(AbstractDocument).doFireDocumentChanged(DocumentEvent, boolean, IRegion) line: 736	
	SynchronizableDocument(AbstractDocument).doFireDocumentChanged(DocumentEvent) line: 721	
	SynchronizableDocument(AbstractDocument).fireDocumentChanged(DocumentEvent) line: 796	
	SynchronizableDocument(AbstractDocument).replace(int, int, String, long) line: 1191	
	SynchronizableDocument.replace(int, int, String, long) line: 194	 <-- locked on document object
	SynchronizableDocument(AbstractDocument).replace(int, int, String) line: 1210	
	SynchronizableDocument.replace(int, int, String) line: 180	
	ProjectionTextStore.replace(int, int, String) line: 111	
	ProjectionDocument(AbstractDocument).replace(int, int, String, long) line: 1184	
	ProjectionDocument(AbstractDocument).replace(int, int, String) line: 1210	
	ProjectionDocument.replace(int, int, String) line: 629	
	DefaultDocumentAdapter.replaceTextRange(int, int, String) line: 248	
	StyledText.modifyContent(Event, boolean) line: 7180	
	StyledText.sendKeyEvent(Event) line: 7994	

    
Daemon Thread [com.aptana.editor.common.text.reconciler.CommonReconciler] (Suspended)	
	SynchronizableDocument.removePosition(String, Position) line: 249	<-- trying to lock on document
	SynchronizableDocument(AbstractDocument).removePosition(Position) line: 1124	
	ProjectionAnnotationModel(AnnotationModel).removePosition(IDocument, Position) line: 492	
	ProjectionAnnotationModel(AnnotationModel).removeAnnotation(Annotation, boolean) line: 857	
	ProjectionAnnotationModel(AnnotationModel).replaceAnnotations(Annotation[], Map, boolean) line: 409	
	ProjectionAnnotationModel.modifyAnnotations(Annotation[], Map, Annotation[]) line: 177	
	JSSourceEditor(AbstractFoldingEditor).updateFoldingStructure(Map<ProjectionAnnotation,Position>) line: 173	<-- locked on editor
	CommonReconcilingStrategy.updatePositions() line: 225	
	CommonReconcilingStrategy.calculatePositions(boolean, IProgressMonitor, IParseRootNode) line: 183	
	CommonReconcilingStrategy.reconcile(boolean, boolean) line: 256	
	CommonReconcilingStrategy.reconcile(boolean) line: 231	
	CommonReconcilingStrategy.fullReconcile() line: 437	
	CompositeReconcilingStrategy.fullReconcile() line: 125	
	CommonReconciler.process(DirtyRegion) line: 162	
	AbstractReconciler$BackgroundThread.run() line: 206	
{code}";8
